name,image
Joseph Hansen,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Joseph_Hansen.jpg/220px-Joseph_Hansen.jpg
Robin Hardy,NaN
Bertha Harris,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Bertha_Harris.jpg/220px-Bertha_Harris.jpg
Michael Harris,NaN
Trebor Healey,NaN
Scott Heim,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Scott_Heim.jpg/200px-Scott_Heim.jpg
Essex Hemphill,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Essex_Hemphill.jpg/220px-Essex_Hemphill.jpg
John Herbert,NaN
Patricia Highsmith,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Patricia-Highsmith-1962.jpg/220px-Patricia-Highsmith-1962.jpg
Tomson Highway,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Tomson_Highway_2018_Margaret_Laurence_Lecture_CR_Kaparica_Wiki_Commons_%28cropped%29.jpg/220px-Tomson_Highway_2018_Margaret_Laurence_Lecture_CR_Kaparica_Wiki_Commons_%28cropped%29.jpg
Daryl Hine,NaN
Guy Hocquenghem,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Guy_Hocquenghem_%281983%29.jpg/220px-Guy_Hocquenghem_%281983%29.jpg
Susan Holbrook,NaN
Andrew Holleran,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Andrew_Holleran_at_the_Arkansas_Literary_Festival_2007.jpg/220px-Andrew_Holleran_at_the_Arkansas_Literary_Festival_2007.jpg
Alan Hollinghurst,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Alan_hollinghurst_2011.jpg/200px-Alan_hollinghurst_2011.jpg
Ike Holter,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/IkeHolter2019.jpg/220px-IkeHolter2019.jpg
Gerard Manley Hopkins,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/GerardManleyHopkins.jpg/220px-GerardManleyHopkins.jpg
