,name,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
293,KTAV Publishing House,https://upload.wikimedia.org/wikipedia/en/7/74/Ktav.gif,United States,Unknown,1921 (100 years ago) (1921),Unkown,"Brooklyn, New York",http://www.ktav.com,,,293
294,Kumarian Press,-1,United States,Books,1977,Lynne Rienner Publishers,"Boulder, Colorado",www.rienner.com,,,294
295,Ladybird Books,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Ladybird_Books_%282004%29.gif/220px-Ladybird_Books_%282004%29.gif,United Kingdom,Books,Loughborough,Penguin Random House,London,www.ladybird.co.uk,,,295
296,Last Gasp,https://upload.wikimedia.org/wikipedia/commons/3/35/Last_Gasp.gif,Unknown,Books,"Berkeley, California",Unkown,"San Francisco, California",www.lastgasp.com,,,296
297,Leafwood Publishers,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Leafwood_Publishers_Logo.png/300px-Leafwood_Publishers_Logo.png,Unknown,Books,2000,Abilene Christian University Press,"Abilene, Texas",/http://www.leafwoodpublishers.com/,,,297
298,Abilene Christian University Press,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/ACU_Press_Current_Logo.jpg/220px-ACU_Press_Current_Logo.jpg,Unknown,Books,1984,Abilene Christian University,"Abilene, Texas",www.acupressbooks.com,,,298
299,Left Book Club,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Left_Book_Club_logo.png/100px-Left_Book_Club_logo.png,United Kingdom,Books,1936,Unkown,London,Not available,,,299
300,Legend Books,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available,,,300
301,Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available,"17,24,27,83,86,110","58,66,68,75,281,284,296,299,313,374,384",301
302,Lethe Press,-1,United States,Books,2001,Unkown,"Amherst, Massachusetts",lethepressbooks.com,,,302
303,Liberty Fund,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Liberty_Fund_logo_2020.svg/240px-Liberty_Fund_logo_2020.svg.png,Unknown,Unknown,1960; 61 years ago (1960),Unkown,Unknown,Not available,,,303
304,Library of America,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Library_of_America.JPG/250px-Library_of_America.JPG,United States,Books,1979,Unkown,New York City,www.loa.org,38,143,304
305,Lion Hudson,https://upload.wikimedia.org/wikipedia/en/9/95/Lion_Hudson_logo.png,England,"Children's Bible Retelling, books, literature, ebooks, audio books",2017,[1],Oxford,www.lionhudson.com,,,305
306,Lion Publishing,https://upload.wikimedia.org/wikipedia/en/9/95/Lion_Hudson_logo.png,England,"Children's Bible Retelling, books, literature, ebooks, audio books",2017,[1],Oxford,www.lionhudson.com,,,306
307,Lion Hudson,https://upload.wikimedia.org/wikipedia/en/9/95/Lion_Hudson_logo.png,England,"Children's Bible Retelling, books, literature, ebooks, audio books",2017,[1],Oxford,www.lionhudson.com,,,307
308,Lippincott Williams & Wilkins,-1,United States,books,1998,Wolters Kluwer,Philadelphia,www.lww.com,,,308
309,Wolters Kluwer,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Wolters_Kluwer_logo.svg/220px-Wolters_Kluwer_logo.svg.png,Unknown,Unknown,1968; 53 years ago (1968),Unkown,Unknown,Not available,,,309
310,"Little, Brown and Company",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Little_Brown_Company_logo.svg/220px-Little_Brown_Company_logo.svg.png,United States/United Kingdom,Unknown,1837; 184 years ago (1837),Hachette Book Group USA,New York City,littlebrown.com,,,310
311,Liverpool University Press,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Liverpool-University-Press.png/220px-Liverpool-University-Press.png,United Kingdom,Books,1899,University of Liverpool,Liverpool,www.liverpooluniversitypress.co.uk,,,311
312,Llewellyn Worldwide,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Llevellyn-logo.PNG/220px-Llevellyn-logo.PNG,United States,Books,1901,Unkown,"Woodbury, Minnesota",www.llewellyn.com,,,312
313,Longman,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Pearson_Longman_logo.png/220px-Pearson_Longman_logo.png,England,Reference works,1724; 297 years ago (1724),Pearson Education,Harlow,www.pearsonelt.com,112,398,313
314,LPI Media,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/LPIlogo.png/200px-LPIlogo.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,314
315,The Lutterworth Press,-1,United Kingdom,Books,1932,Unkown,"Cambridge, England",www.lutterworth.com,,,315
316,Macmillan Publishers,https://upload.wikimedia.org/wikipedia/en/e/e8/Macmillan_Publishers_Logo_2020.png,United Kingdom,academic journals,1843; 178 years ago (1843),Holtzbrinck Publishing Group,Equitable Building,macmillan.com,,,316
317,Mainstream Publishing,-1,"Scotland, UK",Books,1978,Random House,Edinburgh,Not available,,,317
318,Manchester University Press,-1,Unknown,"Books, academic journals",1904,University of Manchester,"Manchester, England",https://manchesteruniversitypress.co.uk/,,,318
319,Mandrake of Oxford,-1,United Kingdom,Books,1986; 35 years ago (1986)(as Golden Dawn Publications),Unkown,Oxford,www.mandrake.uk.net,,,319
320,Mandrake Press,-1,United Kingdom,Books,1929; 92 years ago (1929)(as Mandrake Press Ltd),Unkown,London,www.mandrake-press.co.uk,,,320
321,Manning Publications,-1,United States,Books,1990,Unkown,"Shelter Island, New York",Manning Publications,,,321
322,Manor House Publishing,-1,Canada,Books,1998; 23 years ago (1998),Unkown,Ancaster,manor-house.biz,,,322
323,Marion Boyars Publishers,-1,United Kingdom,Books,1975,Unkown,London,www.marionboyars.co.uk,,,323
324,Mark Batty Publisher,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Mark_Batty_Publisher_logo.gif/180px-Mark_Batty_Publisher_logo.gif,United States,Books,2003; 18 years ago (2003),Unkown,Brooklyn,Not available,,,324
325,Marshall Cavendish,https://upload.wikimedia.org/wikipedia/en/e/ee/Marshall_cavendish_logo.gif,Singapore,Unknown,1968; 53 years ago (1968),Times Publishing Group,Hougang,www.marshallcavendish.com,,,325
326,Marshall Pickering,-1,United Kingdom,Books,1981,Unkown,Unknown,Not available,,,326
