,Name,OnTour,Summary,Link,Lifetime,Nationality,Genre,Notable works,References
190,Jacqueline Wilson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33397,b. 1945,English,novelist,"The Story of Tracy Beaker, Double Act, Hetty Feather",[431]
191,Jacqueline Wilson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2191862,b. 1945,English,novelist,"The Story of Tracy Beaker, Double Act, Hetty Feather",[431]
192,Jonathan Wilson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33404,b. ?,Canadian,actor and playwright,My Own Private Oshawa,[432]
193,Jeanette Winterson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33509,b. 1959,English,fiction,Oranges Are Not the Only Fruit,[9]
194,Jeanette Winterson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/304568,b. 1959,English,fiction,Oranges Are Not the Only Fruit,[9]
195,Jeanette Winterson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2212768,b. 1959,English,fiction,Oranges Are Not the Only Fruit,[9]
196,Marnie Woodrow,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33691,b. 1969,Canadian,novelist,Spelling Mississippi,[437]
197,Virginia Woolf,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33723,1882–1941,English,novelist,Orlando: A Biography,[9]
198,Virginia Woolf,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/127527,1882–1941,English,novelist,Orlando: A Biography,[9]
199,Virginia Woolf,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2142676,1882–1941,English,novelist,Orlando: A Biography,[9]
200,Virginia Woolf,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2150593,1882–1941,English,novelist,Orlando: A Biography,[9]
201,Virginia Woolf,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2174633,1882–1941,English,novelist,Orlando: A Biography,[9]
202,Adrienne Rich,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/34184,1929-2012,American,poetry,"The Dream of a Common Language, Diving into the Wreck",[9]
203,Terrence McNally,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/35176,b. 1939,American,playwright,"The Ritz, Love! Valour! Compassion!",[288]
204,Juan Goytisolo,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/35415,b. 1931,Spanish,"poet, essayist, novelist",Count Julian,[9]
205,Juan Goytisolo,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112111,b. 1931,Spanish,"poet, essayist, novelist",Count Julian,[9]
206,Juan Goytisolo,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/182897,b. 1931,Spanish,"poet, essayist, novelist",Count Julian,[9]
207,Paula Gunn Allen,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/35673,1939–2008,Native American,"poet, literary critic",As Long as the Rivers Flow: The Stories of Nine Native Americans,[9]
208,Paula Gunn Allen,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/120232,1939–2008,Native American,"poet, literary critic",As Long as the Rivers Flow: The Stories of Nine Native Americans,[9]
209,Deborah Ellis,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/42871,b. ?,Canadian,"non-fiction, young adult literature","The Breadwinner, The Heaven Shop",[160]
210,Sarah Waters,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/44459,b. 1966,British,fiction,"Tipping the Velvet, Affinity, The Night Watch",[418]
211,Carl Van Vechten,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/45266,1880–1964,American,"novelist, photographer",Nigger Heaven,[9]
212,Caleb Crain,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/45331,b. 1967,American,"novelist, critic","Necessary Errors, American Sympathy",[119]
213,Caleb Crain,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/156687,b. 1967,American,"novelist, critic","Necessary Errors, American Sympathy",[119]
214,Hilton Als,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/46401,b. 1960,American,"writer, theatre critic",White Girls,[14]
215,Hilton Als,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/123558,b. 1960,American,"writer, theatre critic",White Girls,[14]
216,Hilton Als,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2166372,b. 1960,American,"writer, theatre critic",White Girls,[14]
217,Richard McCann,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/46634,b. 1949,American,"short story writer, poet",Ghost Letters (poetry collection),[109]
218,William Inge,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/47734,1913–1973,American,playwright,"Come Back, Little Sheba, Picnic",[9]
219,Dorothy Allison,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/52074,b. 1949,American,novelist,Bastard Out of Carolina,[9]
220,Ann-Marie MacDonald,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/54001,b. 1957,Canadian,"playwright, novelist","Goodnight Desdemona (Good Morning Juliet), Fall on Your Knees, The Way the Crow Flies",[98]
